category,subcategories
"住屋&庭院","傢俱 & 裝潢,庭院,草地&花園,廚房&用餐,臥房&浴室,藝術,手工&裁縫"
"藝術,手工&裁縫",""
"臥房&浴室",""
"傢俱 & 裝潢",""
"廚房&用餐",""
"庭院,草地&花園",""
"Home & Garden","Arts, Crafts & Sewing,Bedding & Bath,Furniture & D,Kitchen & Dining,Patio, Lawn & Garden"
"Arts, Crafts & Sewing",""
"Bedding & Bath",""
"Furniture & D",""
"Kitchen & Dining",""
"Patio, Lawn & Garden",""
"Home & Garden","Arts, Crafts & Sewing,Bedding & Bath,Furniture & D,Kitchen & Dining,Patio, Lawn & Garden"
"Arts, Crafts & Sewing",""
"Bedding & Bath",""
"Furniture & D",""
"Kitchen & Dining",""
"Patio, Lawn & Garden",""
"珠寶&手錶","手錶,時尚珠寶,時尚珠寶,精品珠寶,訂婚&婚禮"
"訂婚&婚禮",""
"時尚珠寶",""
"時尚珠寶",""
"精品珠寶",""
"手錶",""
"Jewelry & Watches","Engagement & Wedding,Fashion Jewelry,Fashion Jewelry,Fine Jewelry,Watches"
"Engagement & Wedding",""
"Fashion Jewelry",""
"Fashion Jewelry",""
"Fine Jewelry",""
"Watches",""
"Jewelry & Watches","Engagement & Wedding,Fashion Jewelry,Fashion Jewelry,Fine Jewelry,Watches"
"Engagement & Wedding",""
"Fashion Jewelry",""
"Fashion Jewelry",""
"Fine Jewelry",""
"Watches",""
"電影,音樂&遊戲","MP3下載,樂器,藍光,遊戲下載,電影&電視"
"藍光",""
"遊戲下載",""
"電影&電視",""
"MP3下載",""
"樂器",""
"Movies, Music & Games","Blu-ray,Game Downloads,Movies & TV,MP3 Downloads,Musical Instruments"
"Blu-ray",""
"Game Downloads",""
"Movies & TV",""
"MP3 Downloads",""
"Musical Instruments",""
"Movies, Music & Games","Blu-ray,Game Downloads,Movies & TV,MP3 Downloads,Musical Instruments"
"Blu-ray",""
"Game Downloads",""
"Movies & TV",""
"MP3 Downloads",""
"Musical Instruments",""
"房地產",""
"Real Estate",""
"Real Estate",""
"餐廳","亞洲餐廳,法式餐廳,義式餐廳"
"亞洲餐廳",""
"法式餐廳",""
"義式餐廳",""
"Restaurants","Asian Restaurants,French Restaurants,Italian Restaurants"
"Asian Restaurants",""
"French Restaurants",""
"Italian Restaurants",""
"Restaurants","Asian Restaurants,French Restaurants,Italian Restaurants"
"Asian Restaurants",""
"French Restaurants",""
"Italian Restaurants",""
"服務","IT 服務,服務"
"IT 服務",""
"服務",""
"Services","IT Services,Services"
"IT Services",""
"Services",""
"Services","IT Services,Services"
"IT Services",""
"Services",""
"運動&戶外活動","單車,團體運動,戶外休閒,打獵&釣魚,運動&瘦身"
"單車",""
"運動&瘦身",""
"打獵&釣魚",""
"戶外休閒",""
"團體運動",""
"Sports & Outdors","Cycling,Exercise & Fitness,Hunting & Fishing,Outdoor Recreation,Team Sports"
"Cycling",""
"Exercise & Fitness",""
"Hunting & Fishing",""
"Outdoor Recreation",""
"Team Sports",""
"Sports & Outdors","Cycling,Exercise & Fitness,Hunting & Fishing,Outdoor Recreation,Team Sports"
"Cycling",""
"Exercise & Fitness",""
"Hunting & Fishing",""
"Outdoor Recreation",""
"Team Sports",""
"玩具,兒童&嬰兒","兒童電玩,嬰兒,嬰兒註冊,玩具&遊戲,衣服(兒童&嬰兒)"
"嬰兒",""
"嬰兒註冊",""
"衣服(兒童&嬰兒)",""
"玩具&遊戲",""
"兒童電玩",""
"Toy,Kids & Babies","Baby,Baby Registry,Clothing (Kids & Baby),Toys & Games,Video Games for Kids"
"Baby",""
"Baby Registry",""
"Clothing (Kids & Baby)",""
"Toys & Games",""
"Video Games for Kids",""
"Toy,Kids & Babies","Baby,Baby Registry,Clothing (Kids & Baby),Toys & Games,Video Games for Kids"
"Baby",""
"Baby Registry",""
"Clothing (Kids & Baby)",""
"Toys & Games",""
"Video Games for Kids",""
